,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,Lamu,100,CN,1570933352,60,35.77,102.37,43.23,3.81
1,Umm Kaddadah,84,SD,1570933353,59,13.6,26.69,81.21,15.83
2,Victoria,75,BN,1570933354,70,5.28,115.24,86.0,3.36
3,Kaitangata,66,NZ,1570933356,73,-46.28,169.85,48.99,15.01
4,Ushuaia,75,AR,1570933357,86,-54.81,-68.31,33.8,21.92
5,Geraldton,75,CA,1570933358,94,49.72,-86.95,32.0,4.7
6,Yellowknife,75,CA,1570933359,81,62.45,-114.38,42.8,8.05
7,Iguape,0,BR,1570933361,92,-24.7,-47.56,69.51,1.74
8,Hobart,75,AU,1570933362,50,-42.88,147.33,64.99,10.29
9,Jamestown,100,AU,1570933363,15,-33.21,138.6,81.21,17.01
10,Ixtapa,90,MX,1570933364,88,20.71,-105.21,82.99,8.05
11,Hilo,90,US,1570933365,78,19.71,-155.08,78.8,9.25
12,Diffa,1,NE,1570933367,46,13.32,12.61,85.71,8.71
13,Ancud,20,CL,1570933368,80,-41.87,-73.83,41.0,12.75
14,Lavrentiya,16,RU,1570933369,74,65.58,-170.99,34.77,9.42
15,Busselton,31,AU,1570933371,38,-33.64,115.35,71.01,13.89
16,Saint-Pierre,23,FR,1570933372,87,48.95,4.24,64.4,16.11
17,Srednekolymsk,100,RU,1570933373,96,67.46,153.71,26.67,14.13
18,Marquette,75,US,1570933374,84,46.54,-87.4,34.0,10.29
19,Gizo,40,IL,1570933375,78,31.8,34.94,72.0,2.24
20,Manavalakurichi,40,IN,1570933377,88,8.13,77.3,78.8,4.7
21,Hermanus,68,ZA,1570933378,88,-34.42,19.24,60.01,4.0
22,Limbang,75,BN,1570933379,70,4.75,115.01,86.0,2.24
23,Provideniya,0,RU,1570933380,83,64.42,-173.23,30.27,3.86
24,Rikitea,48,PF,1570933382,71,-23.12,-134.97,69.51,16.87
25,Karpogory,100,RU,1570933383,91,64.0,44.44,42.51,9.95
26,Rawson,33,AR,1570933384,55,-43.3,-65.11,47.55,11.15
27,Cidreira,0,BR,1570933385,75,-30.17,-50.22,73.83,12.88
28,Ponta do Sol,100,BR,1570933387,64,-20.63,-46.0,70.41,2.47
29,Khatanga,100,RU,1570933388,85,71.98,102.47,23.97,4.38
30,Havelock,1,US,1570933389,64,34.88,-76.9,75.2,9.17
31,Ilulissat,82,GL,1570933391,63,69.22,-51.1,26.6,2.24
32,Poum,0,MK,1570933392,86,41.28,20.71,51.51,1.9
33,Margate,75,AU,1570933393,50,-43.03,147.26,64.99,10.29
34,Fremont,1,US,1570933395,48,37.55,-121.99,75.99,3.36
35,East London,45,ZA,1570933396,79,-33.02,27.91,62.13,11.01
36,Albany,90,US,1570933397,72,42.65,-73.75,59.0,10.29
37,Trofors,99,NO,1570933398,86,65.54,13.39,37.4,5.82
38,Pevek,4,RU,1570933399,70,69.7,170.27,31.89,15.47
39,Faanui,0,PF,1570933401,74,-16.48,-151.75,75.45,17.55
40,Mar del Plata,67,AR,1570933402,32,-46.43,-67.52,46.29,14.69
41,Coffs Harbour,40,AU,1570933403,63,-30.3,153.13,69.8,18.34
42,Bluff,0,AU,1570933404,15,-23.58,149.07,83.91,5.28
43,Marmora,1,CA,1570933406,83,44.48,-77.68,48.2,3.84
44,Natal,75,BR,1570933407,83,-5.81,-35.21,75.2,5.82
45,Chapais,90,CA,1570933409,93,49.78,-74.86,46.4,8.05
46,Barrow,67,AR,1570933410,78,-38.31,-60.23,46.29,6.26
47,Ribeira Grande,64,PT,1570933411,68,38.52,-28.7,59.61,12.86
48,Tuktoyaktuk,75,CA,1570933412,72,69.44,-133.03,32.0,25.28
49,Vila Velha,75,BR,1570933414,69,-3.71,-38.6,80.6,20.8
50,Fallon,1,US,1570933415,59,46.84,-105.12,34.0,8.05
51,Thompson,90,CA,1570933416,92,55.74,-97.86,30.2,11.41
52,Alofi,33,NU,1570933417,57,-19.06,-169.92,78.8,17.22
53,Saint-Philippe,90,CA,1570933419,93,45.36,-73.48,55.99,12.75
54,Sabya,25,SA,1570933420,66,17.15,42.62,87.8,6.93
55,Mataura,100,NZ,1570933421,71,-46.19,168.86,55.0,8.99
56,Rocha,100,UY,1570933422,99,-34.48,-54.34,61.95,1.77
57,Bethel,1,US,1570933423,51,60.79,-161.76,37.4,11.41
58,Port Blair,40,IN,1570933425,94,11.67,92.75,78.8,2.24
59,Brae,1,GB,1570933426,100,60.4,-1.35,42.8,2.24
60,Te Anau,96,NZ,1570933427,91,-45.41,167.72,43.23,3.42
61,Lazaro Cardenas,20,MX,1570933429,55,28.39,-105.62,62.6,8.85
62,Punta Arenas,8,CL,1570933430,74,-53.16,-70.91,35.6,18.34
63,Hofn,100,IS,1570933431,72,64.25,-15.21,42.69,12.79
64,Hambantota,20,LK,1570933433,100,6.12,81.12,75.2,2.24
65,Chokurdakh,97,RU,1570933434,95,70.62,147.9,24.33,11.02
66,Namibe,100,AO,1570933435,88,-15.19,12.15,69.15,12.06
67,Coquimbo,100,CL,1570933436,93,-29.95,-71.34,51.8,1.93
68,Batagay-Alyta,0,RU,1570933438,70,67.8,130.41,15.33,2.34
69,Sesheke,35,NA,1570933439,63,-17.47,24.29,60.8,2.24
70,Lebu,40,ET,1570933440,87,8.96,38.73,55.4,6.93
71,Vardo,1,US,1570933441,57,39.62,-77.74,59.0,4.7
72,Kiama,75,AU,1570933442,45,-34.67,150.86,66.2,10.29
73,Butaritari,0,KI,1570933444,67,3.07,172.79,85.53,10.1
74,Hannibal,1,US,1570933445,40,39.71,-91.36,55.0,12.75
75,Yarada,40,IN,1570933446,88,17.65,83.27,80.6,2.24
76,Cockburn Town,0,TC,1570933448,75,21.46,-71.14,83.19,11.19
77,Praia,43,BR,1570933449,50,-20.25,-43.81,75.2,5.82
78,Ciudad Bolivar,6,VE,1570933450,78,8.12,-63.55,78.33,8.91
79,Georgetown,40,GY,1570933451,94,6.8,-58.16,82.4,4.7
80,Cukai,75,MY,1570933453,83,4.25,103.42,86.0,2.24
81,Nizhneangarsk,0,RU,1570933454,48,55.78,109.57,18.21,1.35
82,Hithadhoo,84,MV,1570933455,79,-0.6,73.08,81.21,8.18
83,Norman Wells,75,CA,1570933457,100,65.28,-126.83,30.2,16.11
84,Siniscola,56,IT,1570933458,100,40.57,9.69,55.4,2.24
85,Saskylakh,99,RU,1570933459,85,71.97,114.09,23.97,4.11
86,Abu Kamal,0,SY,1570933461,28,34.45,40.92,71.13,8.85
87,Castro,20,CL,1570933462,80,-42.48,-73.76,41.0,12.75
88,Saldanha,48,PT,1570933463,86,41.42,-6.55,56.73,7.27
89,Codrington,75,AU,1570933464,46,-28.95,153.24,71.6,16.11
90,Arman,38,RU,1570933466,69,59.7,150.17,32.25,9.88
91,Puerto Ayora,31,EC,1570933467,89,-0.74,-90.35,68.0,3.0
92,Humaita,4,AR,1570933468,50,-24.93,-65.37,87.8,4.7
93,Vaini,75,IN,1570933470,94,15.34,74.49,69.8,2.99
94,Iqaluit,40,CA,1570933471,85,63.75,-68.52,24.8,8.05
95,Dawlatabad,0,AF,1570933472,31,36.41,64.91,61.95,1.96
96,Udon Thani,3,TH,1570933473,74,17.4,102.79,84.2,8.05
97,Flinders,75,AU,1570933474,45,-34.58,150.85,68.0,10.29
98,Tura,100,RU,1570933476,66,64.27,100.22,24.69,6.73
99,Cherskiy,100,RU,1570933477,79,68.75,161.3,32.97,8.48
100,Avarua,33,CK,1570933478,60,-21.21,-159.78,73.4,11.41
101,Calama,0,CL,1570933480,22,-22.46,-68.93,59.0,10.29
102,Husavik,100,CA,1570933481,98,50.56,-96.99,35.01,4.0
103,Altay,0,CN,1570933482,29,47.83,88.13,48.45,0.62
104,Kodiak,1,US,1570933483,70,39.95,-94.76,51.01,3.36
105,Nikolskoye,75,RU,1570933484,87,59.7,30.79,48.2,6.71
106,Zaranj,0,AF,1570933486,44,30.95,61.86,59.0,6.93
107,Bud,63,NO,1570933487,93,62.91,6.91,39.2,6.93
108,Padang,50,ID,1570933489,73,-0.92,100.36,78.51,3.4
109,Quatre Cocos,40,MU,1570933490,88,-20.21,57.76,73.0,2.24
110,Meadow Lake,0,CA,1570933491,63,54.13,-108.44,30.45,2.93
111,Grasse,97,FR,1570933492,93,43.66,6.92,63.0,5.82
112,Pisco,50,PE,1570933494,77,-13.71,-76.2,62.6,6.93
113,Opuwo,100,NA,1570933495,68,-18.06,13.84,68.97,8.17
114,San Matias,0,BO,1570933496,72,-16.36,-58.4,76.17,7.03
115,Tiksi,100,RU,1570933497,91,71.64,128.87,18.03,8.43
116,Gat,53,SN,1570933498,88,14.69,-16.54,80.6,10.29
117,Ambon,52,FR,1570933500,93,47.55,-2.56,62.01,10.29
118,Kayerkan,99,RU,1570933501,91,69.35,87.76,26.67,16.11
119,Tasiilaq,100,GL,1570933502,86,65.61,-37.64,30.2,6.93
120,Bredasdorp,86,ZA,1570933504,72,-34.53,20.04,60.8,6.93
121,Poronaysk,33,RU,1570933505,40,49.22,143.1,43.59,10.55
122,Wasilla,1,US,1570933506,56,61.58,-149.44,44.6,4.7
123,Kapaa,40,US,1570933508,74,22.08,-159.32,87.8,13.87
124,Victor Harbor,75,AU,1570933509,52,-35.55,138.62,72.0,13.87
125,Progreso,90,UY,1570933510,93,-34.68,-56.22,63.0,6.93
126,Longyearbyen,20,NO,1570933512,73,78.22,15.63,19.4,4.7
127,Klaksvik,1,FO,1570933513,86,62.23,-6.59,37.4,3.36
128,Port Alfred,4,ZA,1570933514,86,-33.59,26.89,57.0,3.0
129,Saint George,20,GR,1570933515,93,39.45,22.34,59.0,3.36
130,Leningradskiy,100,RU,1570933517,68,69.38,178.42,32.25,13.39
131,Knyaginino,100,RU,1570933518,83,58.46,41.41,46.65,16.12
132,Harvard,1,US,1570933519,44,40.62,-98.1,48.99,6.93
133,Nanortalik,94,GL,1570933520,79,60.14,-45.24,37.65,21.18
134,Ostrovnoy,100,RU,1570933522,91,68.05,39.51,35.49,9.02
135,Kamaishi,40,JP,1570933523,64,39.28,141.86,68.0,10.29
136,Noumea,20,NC,1570933524,51,-22.28,166.46,86.0,12.75
137,Lumut,75,BN,1570933525,70,4.66,114.45,86.0,2.24
138,Mantua,0,IT,1570933527,100,45.16,10.79,55.99,2.24
139,Guerrero Negro,65,MX,1570933528,60,27.97,-114.04,70.23,12.51
140,Port Hedland,0,AU,1570933529,36,-20.31,118.58,91.4,9.17
141,Rawlins,1,US,1570933531,18,41.79,-107.24,44.6,8.05
142,Lompoc,1,US,1570933532,51,34.64,-120.46,66.2,6.93
143,Severo-Kurilsk,99,RU,1570933533,57,50.68,156.12,39.99,3.74
144,Abbeville,40,FR,1570933534,93,50.11,1.83,59.0,6.93
145,Benguela,100,AO,1570933535,94,-12.58,13.4,71.13,2.85
146,Airai,68,TL,1570933537,14,-8.93,125.41,88.95,8.38
147,Arraial do Cabo,2,BR,1570933538,90,-22.97,-42.02,72.03,26.33
148,Saiha,1,IN,1570933539,62,22.49,92.98,80.13,0.9
149,Sangar,24,RU,1570933540,42,63.92,127.47,27.03,5.21
150,Vestmannaeyjar,100,IS,1570933541,75,63.44,-20.27,44.85,21.64
151,Gayny,100,RU,1570933543,90,60.3,54.33,39.45,12.97
152,Maniitsoq,100,GL,1570933544,98,65.42,-52.9,31.71,3.12
153,Izhma,91,RU,1570933545,88,65.01,53.91,39.27,8.68
154,Krutinka,100,RU,1570933546,73,56.01,71.51,46.47,12.1
155,Tabory,100,PL,1570933548,89,53.89,19.53,54.0,4.03
156,Kysyl-Syr,75,RU,1570933549,80,63.9,122.77,21.09,7.43
157,New Norfolk,75,AU,1570933550,50,-42.78,147.06,64.99,10.29
158,Rincon,40,PA,1570933551,94,8.46,-82.28,77.0,1.12
159,Vila Franca do Campo,20,PT,1570933553,67,37.72,-25.43,59.0,6.93
160,Qaanaaq,15,GL,1570933554,62,77.48,-69.36,17.13,8.14
161,Sisimiut,100,GL,1570933556,69,66.94,-53.67,26.49,8.43
162,Yumen,100,CN,1570933557,25,40.29,97.04,49.89,22.58
163,Bestwig,4,DE,1570933558,82,51.36,8.4,61.0,6.93
164,Mahebourg,40,MU,1570933559,88,-20.41,57.7,73.0,2.24
165,Floresta,0,BR,1570933560,79,-8.6,-38.57,68.07,12.79
166,Dikson,100,RU,1570933562,98,73.51,80.55,30.63,17.55
167,Chuy,100,UY,1570933563,98,-33.69,-53.46,64.47,5.6
168,Laguna,90,BZ,1570933564,94,16.17,-88.94,77.0,6.93
169,Atuona,12,PF,1570933565,70,-9.8,-139.03,79.05,15.72
170,Makakilo City,20,US,1570933567,65,21.35,-158.09,87.8,10.29
171,Bokhan,0,RU,1570933568,33,53.15,103.77,33.33,8.18
172,Shache,2,CN,1570933570,87,38.42,77.24,54.0,5.04
173,Avera,75,US,1570933571,68,33.19,-82.53,71.6,6.49
174,Upernavik,100,GL,1570933572,57,72.79,-56.15,25.95,12.86
175,Roald,58,NO,1570933574,93,62.58,6.12,39.2,6.93
176,Taoudenni,35,ML,1570933575,26,22.68,-3.98,86.25,13.58
177,Merrill,1,US,1570933576,32,42.03,-121.6,53.6,1.14
178,Finnsnes,68,NO,1570933577,92,69.23,17.98,24.8,14.99
179,Kefamenanu,7,ID,1570933578,13,-9.45,124.48,95.43,14.47
180,Hay River,40,CA,1570933580,56,60.82,-115.79,41.0,5.82
181,Tunceli,0,TR,1570933581,57,39.11,39.55,48.2,9.17
182,Saint-Augustin,90,CA,1570933582,93,45.63,-73.98,55.99,12.75
183,Cabo San Lucas,90,MX,1570933583,83,22.89,-109.91,80.01,9.17
184,Fort Nelson,75,CA,1570933584,39,58.81,-122.69,46.4,4.7
185,Kristiansund,22,NO,1570933586,86,63.12,7.73,39.2,10.29
186,Barcelos,93,BR,1570933587,83,-0.97,-62.93,74.55,2.09
187,Shenjiamen,7,CN,1570933589,74,29.96,122.3,72.93,13.07
188,Mastic Beach,1,US,1570933590,87,40.77,-72.85,60.01,4.9
189,Kapit,100,MY,1570933591,91,2.02,112.94,80.67,1.44
190,Torbay,90,CA,1570933593,100,47.66,-52.73,50.0,16.11
191,Lypnyazhka,100,UA,1570933594,90,48.45,31.08,49.89,8.09
192,Ahipara,23,NZ,1570933595,70,-35.17,173.16,72.0,9.85
193,Mana,88,NG,1570933596,66,13.03,5.27,79.77,6.66
194,Inirida,0,CO,1570933598,89,3.87,-67.92,73.47,2.45
195,Cape Town,20,ZA,1570933599,77,-33.93,18.42,62.01,17.22
196,Alice Town,21,BS,1570933600,77,25.72,-79.3,79.59,22.21
197,Walvis Bay,0,NA,1570933601,87,-22.95,14.51,63.0,8.05
198,Katsuura,75,JP,1570933602,56,33.93,134.5,69.8,18.34
199,Goderich,0,CA,1570933604,82,43.74,-81.71,48.0,10.0
200,Karratha,0,AU,1570933605,63,-20.74,116.85,77.43,14.56
201,Sola,93,TZ,1570933606,71,-3.17,33.8,67.35,5.34
202,Rabo de Peixe,20,PT,1570933607,67,37.8,-25.58,59.0,6.93
203,Shenzhen,40,CN,1570933609,83,22.54,114.05,81.0,6.71
204,Teya,20,MX,1570933610,83,21.05,-89.07,84.0,4.7
205,Bilma,0,NE,1570933611,25,18.69,12.92,81.57,16.59
206,Coahuayana,60,MX,1570933612,90,18.62,-100.35,73.29,1.59
207,Svobodnyy,100,RU,1570933614,62,53.85,40.53,54.0,5.01
208,Touros,75,BR,1570933615,83,-5.2,-35.46,73.4,5.82
209,Dingle,60,PH,1570933616,74,11.0,122.67,84.27,6.74
210,Kilindoni,9,TZ,1570933617,83,-7.91,39.67,78.69,9.84
211,Speightstown,75,BB,1570933619,74,13.25,-59.65,82.4,13.87
212,Kholodnyy,100,RU,1570933620,91,62.72,147.95,10.11,5.28
213,Conceicao do Araguaia,0,BR,1570933621,61,-8.26,-49.26,78.33,2.68
214,Uttaradit,40,TH,1570933622,74,17.63,100.1,93.99,2.24
215,Bang Pakong,20,TH,1570933623,74,13.54,100.99,93.0,3.36
216,Arlit,0,NE,1570933625,18,18.74,7.39,88.23,8.55
217,Polunochnoye,5,RU,1570933626,97,60.87,60.43,31.35,4.18
218,Salalah,0,OM,1570933627,78,17.01,54.1,77.0,3.36
219,Palmerston,40,AU,1570933629,58,-12.49,130.99,87.8,8.05
220,Mitsamiouli,21,KM,1570933630,83,-11.38,43.28,78.15,8.91
221,Penha,90,BR,1570933631,100,-26.78,-48.65,72.0,9.17
222,Ostersund,74,SE,1570933632,93,63.18,14.64,37.4,12.75
223,Bismarck,90,US,1570933634,94,46.81,-100.78,32.0,17.22
224,Fortuna,1,US,1570933635,87,40.6,-124.16,55.0,8.05
225,Vigrestad,40,NO,1570933636,87,58.57,5.7,48.2,8.05
226,Sorong,100,ID,1570933637,66,-0.86,131.25,84.27,2.38
227,Yaan,99,NG,1570933638,96,7.38,8.57,72.93,2.56
228,Vanimo,100,PG,1570933640,66,-2.67,141.3,83.37,5.24
229,Beyneu,59,KZ,1570933641,85,45.32,55.19,53.67,15.28
230,Raudeberg,1,NO,1570933642,86,61.99,5.14,41.0,8.05
231,Tucumcari,1,US,1570933643,41,35.17,-103.73,57.2,8.05
232,Port Elizabeth,20,US,1570933644,76,39.31,-74.98,64.0,4.7
233,Itaituba,36,BR,1570933646,86,-4.26,-55.99,74.55,1.42
234,Bintulu,75,MY,1570933647,74,3.17,113.03,84.2,4.7
235,Fare,7,PF,1570933648,73,-16.7,-151.02,75.45,17.16
236,San Carlos de Bariloche,0,AR,1570933650,85,-41.13,-71.31,42.8,12.75
237,Ulladulla,75,AU,1570933651,45,-35.36,150.48,66.2,10.29
238,Petropavlovsk-Kamchatskiy,100,RU,1570933652,36,53.05,158.65,48.2,13.42
239,Carutapera,4,BR,1570933653,80,-1.2,-46.02,80.31,16.0
240,Ayan,0,IR,1570933654,89,38.23,44.7,39.81,2.4
241,George,1,MW,1570933656,87,-15.35,34.83,66.09,1.97
242,Kralendijk,100,BQ,1570933657,79,12.15,-68.27,84.2,13.87
243,Half Moon Bay,1,US,1570933658,62,37.46,-122.43,75.99,4.7
244,Batemans Bay,100,AU,1570933659,64,-35.71,150.18,64.0,4.0
245,Batie,90,FR,1570933661,87,45.06,5.82,60.01,2.24
246,Port Lincoln,100,AU,1570933662,91,-34.72,135.86,60.15,18.15
247,Caravelas,0,BR,1570933663,94,-17.73,-39.27,69.51,5.68
248,Huilong,14,CN,1570933664,65,31.15,106.5,70.05,3.71
249,Malpe,75,IN,1570933666,88,13.35,74.72,77.0,4.7
250,Turgutlu,0,TR,1570933667,86,38.5,27.71,64.4,4.7
251,Anamur,0,TR,1570933669,35,36.08,32.84,71.6,4.7
252,Terrasini,80,IT,1570933670,82,38.15,13.08,68.0,3.36
253,Jalu,0,LY,1570933671,69,29.03,21.55,70.41,9.73
254,North Bend,1,US,1570933672,71,43.41,-124.22,59.0,5.82
255,Hwange,7,ZW,1570933673,45,-18.35,26.5,71.49,7.4
256,Rovaniemi,90,FI,1570933675,100,66.5,25.72,30.2,4.7
257,Aksu,0,KZ,1570933676,62,52.04,76.93,49.71,1.66
258,Alyangula,84,AU,1570933677,52,-13.85,136.42,87.8,10.29
259,Guasdualito,40,VE,1570933679,100,7.24,-70.73,77.0,3.36
260,Aguimes,75,ES,1570933680,68,27.91,-15.45,71.6,5.82
261,Inhambane,1,MZ,1570933681,70,-23.87,35.38,70.41,8.02
262,Mountain Home,1,US,1570933682,25,43.13,-115.69,53.6,4.7
263,Kanniyakumari,46,IN,1570933684,68,8.08,77.57,81.39,1.4
264,Kathmandu,40,NP,1570933685,88,27.71,85.32,62.6,3.36
265,Carnarvon,0,ZA,1570933686,59,-30.97,22.13,51.33,15.49
266,Lincoln,100,GB,1570933688,100,53.23,-0.54,53.01,9.17
267,Sitka,24,US,1570933689,41,37.17,-99.65,51.01,8.01
268,Balikpapan,88,ID,1570933690,88,-1.24,116.86,81.93,5.51
269,Naryan-Mar,100,RU,1570933691,91,67.67,53.09,36.75,10.99
270,Hays,1,US,1570933693,34,38.88,-99.33,57.2,4.7
271,Yar-Sale,98,RU,1570933694,96,66.83,70.83,34.05,3.96
272,Hovd,75,NO,1570933695,93,63.83,10.7,46.0,6.93
273,Calvinia,0,ZA,1570933696,54,-31.47,19.78,50.61,3.83
274,Murray Bridge,93,AU,1570933698,55,-35.12,139.28,72.0,17.0
275,Bosaso,2,SO,1570933699,72,11.28,49.18,83.19,12.0
276,Kloulklubed,90,PW,1570933700,83,7.04,134.26,80.6,10.29
277,Ishinomaki,40,JP,1570933701,53,38.42,141.3,73.4,18.34
278,At-Bashi,0,KG,1570933703,41,41.17,75.81,29.73,6.95
279,Vostok,0,RU,1570933704,33,46.45,135.83,37.11,10.16
280,Tongchuan,71,CN,1570933705,82,34.9,108.95,62.6,6.71
281,Necochea,33,AR,1570933706,84,-38.55,-58.74,53.01,1.99
282,Karakol,0,KG,1570933708,70,42.49,78.39,35.85,5.07
283,Nemuro,75,JP,1570933709,93,43.32,145.57,44.6,11.41
284,Road Town,20,VG,1570933711,70,18.42,-64.62,84.2,4.7
